id,workstream,component,pitch_or_design_claim,actual_state,status,severity,demo_blocking,gap_description,recommended_fix,effort,owner
G11,Attestation,Score not bound to job/winner (replayable attestation),pitch trust model: the enclave 'signs each result'; contract 'verifies the enclave's signature'. Implies the signed proof is bound to the specific job/winner/score.,"HANDOFF + README 'Not yet fixed #2': the TEE proof certifies only 'code is valid', not which job/winner/score. grade.ts takes jobId/agentId from CLI argv; the CRE workflow signs them verbatim; reason is an opaque bytes32. A genuine proof could be REPLAYED on a different job/winner. Stage-2 KMS signs sha256(bountyId|submissionHash|privateSeriesHash|score) - binds bountyId+code+data+score but NOT agentId/winner, and onReport does not verify the enclave signature at all (it trusts the DON/forwarder).",PARTIAL,High,No,"Two layered gaps: (1) the on-chain contract does not verify the enclave's secp256k1 signature - it trusts the KeystoneForwarder/DON, so the KMS-attestation story is not enforced on-chain. (2) The validity attestation is not bound to (jobId, winnerAgentId), so a valid verdict for one submission could be reused for another. Honestly flagged internally; the pitch should not imply the stronger property.","Real fix (post-demo): enclave signs (jobId, agentId, score, valid, submissionHash, testsHash) with an attestation-bound key; register attesterKey on-chain; onReport verifies sig + input commitments. Requires running our own enclave for the validity tuple (the beta Confidential AI Attester won't sign arbitrary tuples). For now, state the trust rests on the DON + forwarder, not on-chain attestation verification.",L,Alex
G12,Attestation,Stage-3 attestation-gated KMS key release,TEE_RESEARCH Option C (recommended): KMS releases the signing key ONLY to the exact attested image digest (Workload Identity Pool + IAM condition on image_digest). 'Change the scoring code -> new digest -> KMS won't sign.',"HANDOFF 3: the enclave signs with a KMS key that exists independently of the attestation. Stage-3 binding (WIF + IAM condition on digest) is NOT deployed. Currently it's 'a server with a key', not 'a key that only exists when the right image runs'. KMS round-trip + ecrecover are proven (Stage-2 live), but key-release is not attestation-gated.",PARTIAL,High,No,The headline trust claim ('only the exact published image can produce a valid signature') is not yet enforced - any holder of the KMS key's IAM access could sign. Internally flagged as an honest gap; must not claim the stronger property in the pitch.,"Configure the Workload Identity Pool attestation policy to release the secp256k1 key only when image_digest==pinned AND dbgstat==disabled-since-boot AND STABLE. ~1-2h of gcloud/IAM per TEE_RESEARCH. Until then, say 'KMS-signed in-enclave; attestation-gated key release is the next hardening step.'",M,Alex
G13,Grading spine,LP path not containerized / not run in enclave,pitch implies one scorer enclave grades all bounties (incl. the LP demo target) inside Confidential Space.,"HANDOFF 3: directional scorer is proven live in Confidential Space; the LP scorer (lp_scorer/lp_worker/lp_engine + demeter) has only run LOCALLY in the .venv, never inside the TEE. Same grade.ts + callback shape, so it's a deploy not a redesign, but the LP demo's scoring has not executed in the enclave.",PARTIAL,Medium,Depends,"If the live demo grades the LP bounty, the 'graded inside the enclave' claim is currently true only for the directional bounty. The LP money-shot (cheat.py 10000 valid=false) was proven locally, not in Confidential Space.","Containerize the LP path: add lp_engine/lp_scorer/lp_worker.py + pool_private.csv to the enclave image, pip install zelos-demeter (py3.12 or 3.14 base both work), set BOUNTY=lp. Then re-run the LP money-shot in-enclave. Or demo the directional bounty (already in-enclave) and present LP as locally-proven.",M,Alex
G14,Grading spine,Validity gate is the ONLY cheat defense (single point of failure),pitch: 'two gates' (AI Tester legitimacy + scorer). Design (HANDOFF 1): the scorer is deliberately 'dumb' and reports the honest number; the cheat OUT-SCORES honest on raw execution in BOTH bounties (directional 3081>2282; LP 10000>8806). The validity gate is what zeroes the cheat.,"Verified true and by-design. cheat.py monkeypatches get_market_balance in-process; both worker and scorer-rerun import the patch and AGREE, so the agreement check does NOT catch it - only the AI validity verdict does. The entire honest-wins outcome depends on one probabilistic LLM call returning valid=false.",PARTIAL,High,No,"This is a deliberate architecture decision, not a bug - but it concentrates all cheat-prevention in a single beta LLM-in-TEE call. If the AI tester returns valid=true for a clever cheat (false negative), the cheat wins outright (it out-scores honest). No deterministic backstop. Worth naming as the residual risk.","Acceptable for the hackathon (it's the thesis). Hardening: add deterministic structural checks the scorer CAN enforce without duplicating the validity gate (e.g., reject monkeypatching of engine internals, run submission with engine modules made read-only/immutable), and/or ensemble the validity call. Document it as the known residual risk.",M,Alex
G15,Strategy-vault,Live end-to-end on-chain swap (writeReport -> real forwarder -> deployed vault),strategy-vault README 'Proven vs next': the vault+workflow are built; the NEXT item is live writeReport through the REAL KeystoneForwarder to a DEPLOYED vault on a chain with Uniswap liquidity.,"StrategyVault.sol + workflow are BUILT and fork-tested (9 fork tests green: 1000 USDC->0.595 WETH, all policy guards revert correctly). Live quote + DON median-consensus on min-out proven in `simulate`. But: config vault address is a 0x111...1 PLACEHOLDER; project.yaml points staging AND production at Sepolia; no deployed vault address; CRE write-capability/forwarder not wired for a real broadcast. RealSwap.s.sol is gated off (corrupted REAL_MONEY_PKEY).",PARTIAL,High,Depends,"The authority layer and the off-chain consensus are genuinely proven, but the system has never executed a real on-chain swap driven by the real forwarder. Everything live is fork-simulated or simulate-mode. If the demo claims a real autonomous trade, that has not happened end-to-end.","Deploy StrategyVault to a chain with Uniswap liquidity + a real KeystoneForwarder, set the real vault address in config.*.json, register the workflow with the Vault DON (cre secrets create), and do one --broadcast tick. Or present strategy-vault as 'fork-proven authority layer + live-simulate consensus', which is accurate and strong.",L,Luke/Alex
G16,Strategy-vault,Relationship to the grading spine (two parallel systems),"Pitch presents ONE system (bounty market). DESIGN.md presents strategy-vault as a separate 'autonomous trading vault' (A1 config-DSL spine, A4 ML-on-DON headline).","Two distinct on-chain systems coexist: BountyEscrow (grading-cre, Sepolia, deployed) and StrategyVault (strategy-vault, fork-only). They share the CRE+KeystoneForwarder pattern but are NOT integrated - no code path connects a bounty winner to a strategy-vault execution.",PARTIAL,Medium,No,"Architectural ambiguity: the repo contains the 'judged-result bounty market' AND a 'winner-executes-real-Uniswap' vault, but the seam between them (winner's model -> deployed strategy box -> real LP/swap) is unbuilt. Memory (uniswap-prize-requirements) frames the real-tx path as Workstream D for the $7k Uniswap prize. Judges may be confused which system is 'the product'.","Decide and state the integration story: is strategy-vault (a) the post-settlement execution venue for a winning bounty model, or (b) an independent demo for the Uniswap prize? Either is fine; the pitch should name it. If (a), sketch the handoff (winner agentId/model -> vault setPolicy + first report).",M,Luke
G17,Contracts,BountyEscrow lacks a submission record on-chain,pitch: 'submission counts' surfaced; lifecycle implies submissions are tracked.,"BountyEscrow records only the BEST valid grade (bestAgentId/bestScore/bestScoreAtt/bestValidityAtt) and a gradeCount counter. Individual submissions are not stored; non-leading grades exist only as GradeRecorded events. There is no submission registry, no per-agent submission list, no CID stored per submission.",PARTIAL,Low,No,"'Submission counts' and any per-submission UI must be reconstructed from events (gradeCount is a bare integer). No on-chain mapping of who submitted what. Acceptable minimalist design, but the dashboard/agent-reputation claims need an event indexer to deliver anything per-submission.","Fine as-is if an indexer (G09) consumes GradeRecorded events. If on-chain per-submission state is wanted, add a submissions mapping keyed by (jobId, agentId) - but events + indexer is the cheaper path.",S,Luke
G18,Contracts,Sealed scoring is off-chain-only; scores are public in events,"pitch (security property): 'No live leaderboard, no per-submission scores - before the deadline, a submission gets back only an acknowledgement... returning a score on each submission is an oracle attack on the hidden test set.'","GradeRecorded(jobId, agentId, score, valid, ...) is emitted on every recordGrade with the cleartext score, BEFORE the deadline. The 'best' is also tracked live in storage (bestScore readable via getJob). So per-submission scores ARE publicly visible on-chain in real time - the opposite of sealed.",PARTIAL,High,No,"The sealed-scoring security claim (no per-submission score before deadline, to prevent oracle/binary-search attacks on the hidden set) is contradicted by the contract: every grade's score is emitted in an event and the running best is queryable. An adversary can read scores live and binary-search the private set across submissions - exactly the attack the pitch says is prevented.","To honor the claim: emit only a commitment (hash) per grade pre-deadline and reveal scores at resolve; or omit score from the event and keep best* private (no public getter) until settled. If keeping live scores, drop the 'sealed scoring is a security property' claim from the pitch - it's currently aspirational.",M,Alex/Luke
G19,Grading spine,grade.ts hardcodes python3 from PATH (interpreter selection),Implicit: the grader runs the correct interpreter for each bounty.,HANDOFF 4: grade.ts shells the literal string 'python3' from PATH (not a configurable interpreter). For LP you MUST prepend .venv/bin to PATH at call time or it grabs system python (3.14) and may fail to import the submission's deps. Fragile operational footgun.,PARTIAL,Low,No,"A run-book fragility: forget the PATH prefix and the LP grade silently runs under the wrong interpreter. Not a design flaw in the trust model, but a reliability gap that will bite during a live demo.","Make the interpreter explicit: a PYTHON env var or per-bounty interpreter config in grade.ts, defaulting to the bounty's venv. Removes the 'remember to prepend PATH' footgun.",S,Luke
G20,Process / docs,Pitch docs describe directories that do not exist,"pitch/README Architecture enumerates /contracts, /attestor (Go), /agent, /dashboard as the monorepo layout.","Actual layout: apps/grading-cre/ (contracts+grader+CRE+maker), apps/strategy-vault/, apps/uniswap-lp/, apps/web/, analysis/. There is no top-level /contracts, /attestor, /agent, /dashboard. The scorer is Python (grader/ + enclave/), not a Go /attestor as the doc says (TEE_RESEARCH still frames the scorer as a Go enclave; the working scorer is Python).",PARTIAL,Low,No,"The canonical pitch doc's architecture section does not match the repo. A judge cloning the repo and reading pitch/README will look for dirs that aren't there, and will read 'Go enclave / /attestor' when the live scorer is Python in enclave/ (python:3.12-slim). Credibility/navigation gap.","Update pitch/README architecture section to the real apps/* layout, and reconcile the scorer language (Python, not Go) across pitch/README + TEE_RESEARCH. Low effort, high credibility payoff.",S,Luke
G21,Grading spine,Memory cap (RLIMIT_AS) on worker not set,HARNESS_SPEC 2.1 intent: subprocess with CPU+wall-clock timeout AND memory cap.,Wall-clock timeout (select() + killpg) is implemented; CPU ceiling via grade.ts 30s timeout. But NO memory rlimit (RLIMIT_AS) is set on the worker - a submission can allocate unbounded RAM and OOM the grader/enclave. verify scripts confirm timeout works; memory is unbounded.,PARTIAL,Medium,No,"A malicious or buggy submission can exhaust memory and crash the grading host/enclave (DoS of the scorer), since no RLIMIT_AS/NPROC is applied. Lower severity than the file-read leak (G01) but part of the same missing-jail story.","Add setrlimit(RLIMIT_AS, ...) and RLIMIT_NPROC in the worker preexec_fn (or container memory limit in the enclave). Bundle with the G01 sandbox fix.",S,Alex
G22,Strategy-vault,"Workflow executes a pinned single-hop V3 route, not the API's actual route",DESIGN / README aim: trade via the Uniswap Trading API.,"strategy-vault README route note: the workflow takes the API's live min-out as the on-chain floor but EXECUTES a pinned single-hop V3 path, NOT the API's actual (often mixed v4+v3 multi-hop) route. Following the real route is 'a later enhancement.'",PARTIAL,Medium,No,"The 'trades via the Uniswap Trading API' claim is partially true: it consumes the API's quote/min-out but does not execute the API's route. For the Uniswap prize (which wants real API integration), this is a meaningful asterisk - the calldata is self-built single-hop, not API-driven.","Either follow the API's returned route calldata (with the balance-delta postcondition still bounding loss), or scope the claim to 'uses the Trading API for live quoting + min-out consensus; executes a proven single-hop V3 route'. Aligns the Uniswap-prize story with reality.",M,Luke
G23,Settlement,Deadline settlement relies on CRON resolver wiring,pitch: 'Chainlink settles at the deadline... triggers settlement at the deadline with no human in the loop'; 'cron fallback if Chainlink fights us'.,"onResolveTick (CRON) is implemented and the contract enforces block.timestamp>expiredAt. But the CRON resolver targets a single config.jobId (one bounty per deployed workflow), and live deployment/DON-registration of the CRON workflow is not shown as done (README runs it via `cre workflow simulate --trigger-index 1 --broadcast`, i.e. operator-invoked). claimRefund is the human fallback after SETTLE_GRACE.",PARTIAL,Medium,No,"'No human in the loop' settlement is, in practice, an operator running the simulate+broadcast or a per-job CRON config. The mechanism is real and correct; the autonomous-at-scale framing (many bounties, self-resolving) is not yet deployed. Single jobId per workflow config limits it to one bounty at a time.","For multi-bounty autonomy, parameterize the resolver to scan open jobs past their deadline (or one workflow per job via templating). For the demo, the per-job CRON broadcast is sufficient - present it as 'time-triggered resolution', which is accurate.",M,Luke
